@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
48,'2018/04/04 20:23:40:796',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,'2018/04/04 20:23:40:861',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,'2018/04/04 20:23:40:907',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,'2018/04/04 20:23:40:955',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,'2018/04/04 20:23:41:003',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,'2018/04/04 20:23:41:050',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,'2018/04/04 20:23:41:098',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,'2018/04/04 20:23:41:170',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,'2018/04/04 20:23:41:220',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,'2018/04/04 20:23:41:286',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,'2018/04/04 20:23:41:436',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,'2018/04/04 20:23:41:472',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,'2018/04/04 20:23:41:519',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,'2018/04/04 20:23:41:613',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,'2018/04/04 20:23:41:661',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,'2018/04/04 20:23:41:729',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,'2018/04/04 20:23:41:759',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,'2018/04/04 20:23:41:811',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,'2018/04/04 20:23:41:859',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,'2018/04/04 20:23:41:910',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,'2018/04/04 20:23:41:960',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,'2018/04/04 20:23:42:011',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,'2018/04/04 20:23:42:060',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,'2018/04/04 20:23:42:114',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,'2018/04/04 20:23:42:160',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,'2018/04/04 20:23:42:209',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,'2018/04/04 20:23:42:259',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,'2018/04/04 20:23:42:310',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,'2018/04/04 20:23:42:362',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,'2018/04/04 20:23:42:410',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,'2018/04/04 20:23:42:496',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,'2018/04/04 20:23:42:545',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,'2018/04/04 20:23:42:593',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,'2018/04/04 20:23:42:645',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,'2018/04/04 20:23:42:706',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,'2018/04/04 20:23:42:754',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,'2018/04/04 20:23:42:802',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,'2018/04/04 20:23:42:945',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,'2018/04/04 20:23:42:998',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,'2018/04/04 20:23:43:046',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,'2018/04/04 20:23:43:099',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,'2018/04/04 20:23:43:147',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,'2018/04/04 20:23:43:212',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,'2018/04/04 20:23:43:272',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,'2018/04/04 20:23:43:320',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,'2018/04/04 20:23:43:371',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,'2018/04/04 20:23:43:436',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,'2018/04/04 20:23:43:485',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,'2018/04/04 20:23:43:527',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,'2018/04/04 20:23:43:578',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,'2018/04/04 20:23:43:629',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,'2018/04/04 20:23:43:677',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
