@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1685,'2018/04/09 15:37:47:484',8,537.449097,355.940186,39.848015,463.67865,351.520538,62.845543,404.506378,348.735016,66.906548,334.041107,349.389771,65.86412,265.97644,355.670105,60.204887,0,0,0,0,0
1686,'2018/04/09 15:37:47:535',8,536.882202,354.70462,40.008839,462.642792,351.058685,63.066139,403.345398,348.325836,67.122055,332.656006,348.826599,66.070618,264.617126,355.108704,60.389847,0,0,0,0,0
1687,'2018/04/09 15:37:47:584',8,535.701538,352.929443,40.205086,460.62973,349.572449,63.298542,401.068542,347.048889,67.327866,330.331665,347.711975,66.245239,262.512604,354.231018,60.535332,0,0,0,0,0
1688,'2018/04/09 15:37:47:634',8,534.086121,351.18866,40.318115,458.693848,347.937134,63.417049,398.889893,345.571014,67.437126,327.983948,346.443848,66.337158,260.335083,353.251038,60.608055,0,0,0,0,0
1689,'2018/04/09 15:37:47:685',8,531.95166,349.711945,40.37167,456.368958,346.695892,63.469315,396.331818,344.39978,67.48558,325.035767,345.145416,66.374939,257.374237,352.001984,60.622482,0,0,0,0,0
1690,'2018/04/09 15:37:47:735',8,529.227722,349.131165,40.601295,452.640045,345.035461,63.659409,392.239746,342.386353,67.631042,320.649963,342.949707,66.466904,253.270493,349.974182,60.67128,0,0,0,0,0
1691,'2018/04/09 15:37:47:784',8,527.259827,348.445129,40.790859,449.355164,343.89444,63.812607,388.57901,340.97702,67.731995,316.540131,341.45105,66.500946,249.7323,348.762085,60.641201,0,0,0,0,0
1692,'2018/04/09 15:37:47:836',8,526.124756,348.232361,40.756985,448.090485,344.450073,63.810658,387.355591,341.570465,67.727905,314.838318,341.656799,66.495766,248.236526,348.777954,60.608959,0,0,0,0,0
1693,'2018/04/09 15:37:47:885',8,525.553101,348.076111,40.669044,447.674469,344.518585,63.756302,387.150635,341.767456,67.666954,314.176331,341.255951,66.459839,247.486771,348.113281,60.578369,0,0,0,0,0
1694,'2018/04/09 15:37:47:936',8,525.633423,347.300201,40.631821,447.692871,343.854736,63.721462,387.329407,341.461853,67.610641,314.01123,340.582947,66.425385,247.253128,347.436279,60.553043,0,0,0,0,0
1695,'2018/04/09 15:37:47:984',8,525.969604,346.325714,40.557392,447.952087,342.932922,63.647186,387.71817,340.674316,67.519073,314.174957,339.402283,66.349915,247.254181,346.094482,60.489449,0,0,0,0,0
1696,'2018/04/09 15:37:48:034',8,526.786743,344.656769,40.482925,448.818451,341.557129,63.580132,388.700684,339.44043,67.445168,314.866943,338.03418,66.298256,247.874817,344.769409,60.466545,0,0,0,0,0
1697,'2018/04/09 15:37:48:085',8,527.513977,343.224548,40.436676,449.522339,339.785095,63.519112,389.475739,337.687958,67.372665,315.438416,336.227356,66.237343,248.388443,343.046692,60.440174,0,0,0,0,0
1698,'2018/04/09 15:37:48:134',8,528.360901,341.92749,40.333229,450.872162,338.205811,63.432457,390.910339,336.319641,67.299835,316.707245,335.265991,66.193253,249.562531,342.301697,60.457603,0,0,0,0,0
1699,'2018/04/09 15:37:48:184',8,528.639526,341.494446,40.279243,451.478271,337.926758,63.392494,391.573303,336.216217,67.269882,317.302307,335.307556,66.184097,250.090714,342.331055,60.477684,0,0,0,0,0
1700,'2018/04/09 15:37:48:234',8,528.49231,340.911377,40.29731,451.342407,337.303955,63.406845,391.435089,335.669922,67.282539,317.142273,334.925232,66.197014,249.939484,341.954681,60.503975,0,0,0,0,0
1701,'2018/04/09 15:37:48:284',8,527.898682,340.021545,40.319916,450.666656,337.228577,63.423565,390.738922,335.958252,67.293259,316.428467,335.293823,66.210281,249.30867,342.326843,60.510311,0,0,0,0,0
